custom_edit_url	sidebar_label	learn_status	learn_rel_path	keywords	description	meta_yaml	message	most_popular
https://github.com/netdata/netdata/edit/master/docs/welcome-to-netdata.md	Welcome to Netdata	Published	Welcome to Netdata					
https://github.com/netdata/netdata/edit/master/docs/netdata-enterprise-evaluation-corrected.md	Enterprise Evaluation Guide	Published	Welcome to Netdata	real-time observability, infrastructure monitoring				
https://github.com/netdata/netdata/edit/master/docs/realtime-monitoring.md	Real-time Monitoring	Published	Welcome to Netdata					
https://github.com/netdata/netdata/edit/master/docs/scalability.md	Scalability	Published	Welcome to Netdata					
https://github.com/netdata/netdata/edit/master/src/collectors/COLLECTORS.md	Monitor Anything	Published	Welcome to Netdata		Netdata gathers real-time metrics from hundreds of data sources using collectors. Most require zero configuration and are pre-configured out of the box.			
https://github.com/netdata/netdata/edit/master/docs/fleet-configuration-management.md	Fleet Deployment and Configuration Management	Published	Welcome to Netdata					
https://github.com/netdata/netdata/edit/master/docs/reporting.md	Reporting	Published	Welcome to Netdata	power bi, tableau, looker, qlik, reporting, business intelligence, bi, grafana, ai insights, mcp, executive reports, board reporting, data export	Extract infrastructure insights for stakeholders and BI tools using AI Insights, AI assistants (MCP), Grafana, or data export to Power BI, Tableau, and other analytics platforms.			
https://github.com/netdata/netdata/edit/master/docs/getting-started-netdata/guide.md	Getting Started	Published	root					
https://github.com/netdata/netdata/edit/master/docs/Demo-Sites.md	Live Demo	Published	root					
								
https://github.com/netdata/netdata/edit/master/docs/deployment-guides/standalone-deployment.md	Netdata Agent	Published	Netdata Agent					
https://github.com/netdata/netdata/edit/master/docs/netdata-agent/versions-and-platforms.md	Versions & Platforms	Published	Netdata Agent		Present all the supported platform in the Netdata solution			
https://github.com/netdata/netdata/edit/master/docs/deployment-guides/README.md	Quickstart Deployment	Published	Netdata Agent					
https://github.com/netdata/netdata/edit/master/packaging/installer/README.md	Installation	Published	Netdata Agent/Installation					
https://github.com/netdata/netdata/edit/master/packaging/installer/methods/kickstart.md	Linux	Published	Netdata Agent/Installation/Linux		The kickstart.sh script installs Netdata from source, including all dependencies required to connect to Netdata Cloud, with a single command.			
